"DateTime_hr","chamber","T_treatment","HWtrt","combotrt","PPFD","Tair","Tcan","VPD","A","E","FluxCO2","FluxH2O","LeafArea","Tdiff","gs","Dleaf","Atogs","sw","sw0","Ps"
2016-10-29 19:00:00,"C01","ambient","C","ambient_C",0,20.3377094268799,20.588,0.477452860144823,-0.637111773097591,0.13292998090274,-0.0150449671980912,0.00313905234022142,23.61432928,0.2502905731201,0.0286931937991747,0.514754905359955,-0.0222042822265368,0.098,0.074,0.162132136279926
2016-10-29 19:00:00,"C02","elevated","C","elevated_C",0,23.3425297737122,23.0593333333333,0.479842032951099,-1.02173905163018,0.262003556598543,-0.0175435198862527,0.00449866783316332,17.17025483,-0.283196440378902,0.0575690584321813,0.43098317007137,-0.0177480591042466,0.109,0.085,0.208749079189687
2016-10-29 19:00:00,"C03","ambient","HW","ambient_HW",0,20.3678817749023,20.492,0.46632532114593,-0.971428734928513,0.067849973825498,-0.0119935029803256,0.000837692806514528,12.34625099,0.1241182250977,0.0148747583711332,0.484790298893712,-0.0653071942878561,0.079,0.061,0.134773480662983
2016-10-29 19:00:00,"C04","elevated","HW","elevated_HW",0,23.3787426948548,22.9533333333333,0.62716287494279,-1.07106094048468,0.32163864209152,-0.0253766025531124,0.00762057104088376,23.69295863,-0.425409361521499,0.0539318055502158,0.553903076014506,-0.0198595416852383,0.107,0.098,0.21798664825046
2016-10-29 19:00:00,"C05","ambient","C","ambient_C",0,20.3041863441467,20.662,0.46824052863364,-1.03645836967047,0.210037567598049,-0.0133781786098581,0.00271107858871383,12.90758896,0.357813655853299,0.0467093386737314,0.521625999750962,-0.0221895320957168,0.128,0.13,0.188379834254144
2016-10-29 19:00:00,"C06","elevated","C","elevated_C",0,23.3522067070008,23.2236666666667,0.487688943024434,-0.78248215695397,0.231250469975878,-0.0230902906881661,0.00682397742372052,29.50903159,-0.128540040334101,0.0497454910504821,0.465410335636079,-0.0157297101793588,0.086,0.076,0.185277163904236
2016-10-29 19:00:00,"C07","ambient","HW","ambient_HW",0,20.309202671051,20.507,0.430761449508498,-0.901140000406306,0.10668929800843,-0.0131572422727783,0.00155773458194802,14.6006639,0.197797328949001,0.0254775825728279,0.460152954399875,-0.0353699177632097,0.098,0.097,0.272846224677716
2016-10-29 19:00:00,"C08","elevated","C","elevated_C",0,23.325032711029,22.864,0.545593419955415,-0.939766046313207,0.304563704598991,-0.022935882771509,0.00743316642747789,24.40594961,-0.461032711028999,0.0588912181162106,0.466498454863432,-0.0159576601804833,0.091,0.053,0.223851749539595
2016-10-29 19:00:00,"C09","ambient","HW","ambient_HW",0,20.3167618115743,20.4613333333333,0.448664541277177,-0.859043546489273,0.0992534911682508,-0.0147422706577055,0.00170331508397264,17.16126117,0.144571521759001,0.0227203951653529,0.470124841177731,-0.0378093576382534,0.104,0.086,0.252514272559853
2016-10-29 19:00:00,"C10","elevated","HW","elevated_HW",0,23.3124742507934,23.1733333333333,0.530130111275205,-0.786989768354641,0.245519125888254,-0.0133762739171693,0.00417302894121658,16.99675708,-0.1391409174601,0.048541587880383,0.506071460809221,-0.0162126910700563,0.068,0.05,0.297757366482505
2016-10-29 19:00:00,"C11","ambient","C","ambient_C",0,20.3228096961975,20.2556666666667,0.462287438978018,-0.98483151061234,0.0810221080812047,-0.00939611579250818,0.000773018634233954,9.54083586,-0.0671430295308006,0.0179511624259596,0.452374379867353,-0.054861712419701,0.1145,0.08,0.264348987108656
2016-10-29 19:00:00,"C12","elevated","HW","elevated_HW",0,23.3898849487305,23.213,0.714037744117103,-1.00808212403525,0.381883553980795,-0.0273807126872152,0.0103724127451695,27.16119256,-0.1768849487305,0.0563598643863852,0.68335805525056,-0.0178865250122704,0.09,0.052,0.217593922651934
2016-10-29 19:30:00,"C01","ambient","C","ambient_C",0,20.1937494277954,20.3943333333333,0.379236985648584,-0.611066093502743,0.214090109142031,-0.0144299159438171,0.00505559433287106,23.61432928,0.200583905537901,0.0592098297385826,0.408859189977761,-0.0103203487698016,0.098,0.074,0.162132136279926
2016-10-29 19:30:00,"C02","elevated","C","elevated_C",0,23.077054977417,22.721,0.481503816032424,-0.785747115672936,0.171403756146095,-0.0134914782080418,0.00294304617184763,17.17025483,-0.356054977416999,0.0369927522240728,0.421048430122478,-0.0212405692583645,0.109,0.085,0.208749079189687
2016-10-29 19:30:00,"C03","ambient","HW","ambient_HW",0,20.0913987159729,20.2323333333333,0.384484451524217,-0.845135059635577,0.234420283221873,-0.0104342495667094,0.00289421165380413,12.34625099,0.140934617360401,0.0641231405010774,0.405149150517358,-0.0131798762978769,0.079,0.061,0.134773480662983
2016-10-29 19:30:00,"C04","elevated","HW","elevated_HW",0,23.0546388626098,22.631,0.542263560013998,-1.10207185832283,0.245401917159503,-0.02611134294653,0.00581429747098279,23.69295863,-0.423638862609799,0.047352190864876,0.470546560503098,-0.0232739359719954,0.107,0.098,0.21798664825046
2016-10-29 19:30:00,"C05","ambient","C","ambient_C",0,20.0726437568664,20.41,0.380297135627224,-0.954278070705356,0.296541712594973,-0.0123174290902066,0.00382763853567037,12.90758896,0.337356243133602,0.0828410561655064,0.429976235121999,-0.0115193856147708,0.128,0.13,0.188379834254144
2016-10-29 19:30:00,"C06","elevated","C","elevated_C",0,22.9137253761292,22.8363333333333,0.444869884821968,-0.78607967375385,0.100435272020056,-0.0231964499250593,0.00296374761479006,29.50903159,-0.0773920427958998,0.0232463699504023,0.431746172807686,-0.0338151580410621,0.086,0.076,0.185277163904236
2016-10-29 19:30:00,"C07","ambient","HW","ambient_HW",0,20.0072188377381,20.245,0.423395628920816,-0.834717969438691,0.101991379129595,-0.0121874365230648,0.00148914184736869,14.6006639,0.2377811622619,0.0247621216803554,0.458193195395566,-0.0337094688497917,0.098,0.097,0.272846224677716
2016-10-29 19:30:00,"C08","elevated","C","elevated_C",0,22.920425415039,22.5726666666667,0.563287481393328,-0.923455142515168,0.274534045161122,-0.0225377996753206,0.00670026407243181,24.40594961,-0.3477587483723,0.0511161669336753,0.504716255918976,-0.0180658135754463,0.091,0.053,0.223851749539595
2016-10-29 19:30:00,"C09","ambient","HW","ambient_HW",0,19.9877535502116,20.152,0.428480603170627,-0.793351271472439,0.0879417944286046,-0.0136149083692901,0.00150919210194773,17.16126117,0.164246449788401,0.0210533112549312,0.452443647718097,-0.037682968815018,0.104,0.086,0.252514272559853
2016-10-29 19:30:00,"C10","elevated","HW","elevated_HW",0,22.9008030891419,22.8463333333333,0.513369554486918,-0.703852699590262,0.198232560774624,-0.0119632133550379,0.00336931068083262,16.99675708,-0.0544697558086007,0.0402259939146547,0.504133594441169,-0.0174974595055025,0.068,0.05,0.297757366482505
2016-10-29 19:30:00,"C11","ambient","C","ambient_C",0,20.1505274772644,19.9986666666667,0.434025076757176,-0.848302130954606,0.166252172274815,-0.00809351139112612,0.00158618468704245,9.54083586,-0.1518608105977,0.0397274704653965,0.41186339512821,-0.0213530366020534,0.114,0.08,0.264348987108656
2016-10-29 19:30:00,"C12","elevated","HW","elevated_HW",0,23.1081638336182,22.8923333333333,0.60622820623256,-1.04736198645961,0.351214434669987,-0.0284476005942535,0.00953940288992304,27.16119256,-0.215830500284898,0.0612085638978298,0.569385129431264,-0.0171113635047521,0.09,0.052,0.217593922651934
2016-10-29 20:00:00,"C01","ambient","C","ambient_C",0,19.8692669868469,20.1906666666667,0.369532903191706,-0.587460947169824,0.135720651260352,-0.0138724962456089,0.00320495214895801,23.61432928,0.321399679819802,0.0380338451030272,0.416323089881435,-0.0154457416960734,0.098,0.074,0.162132136279926
